episode,mujoco_steps,brax_steps
0,1000,261
1,1000,148
2,1000,101
3,1000,153
4,1000,35
5,1000,94
6,1000,34
7,1000,31
8,1000,168
9,1000,147
10,1000,382
11,1000,233
12,1000,131
13,1000,14
14,713,32
15,72,48
16,1000,47
17,1000,20
18,1000,91
19,1000,50
20,1000,73
21,1000,21
22,1000,44
23,1000,29
24,1000,29
25,1000,58
26,1000,15
27,1000,23
28,1000,149
29,305,14
30,1000,15
31,1000,43
32,1000,58
33,126,19
34,225,80
35,1000,15
36,336,134
37,80,94
38,1000,33
39,1000,50
40,543,12
41,1000,37
42,1000,65
43,1000,102
44,1000,24
45,1000,40
46,1000,72
47,1000,345
48,219,43
49,1000,142
50,1000,67
51,1000,49
52,1000,13
53,1000,18
54,1000,19
55,466,40
56,26,20
57,1000,44
58,1000,50
59,1000,81
60,1000,14
61,1000,37
62,508,70
63,1000,70
64,500,50
65,1000,142
66,58,247
67,1000,53
68,191,11
69,1000,83
70,1000,15
71,462,25
72,1000,189
73,1000,102
74,731,113
75,1000,21
76,1000,64
77,1000,155
78,1000,14
79,1000,9
80,1000,29
81,274,57
82,1000,41
83,553,62
84,1000,89
85,639,63
86,1000,18
87,474,29
88,52,94
89,1000,68
90,301,98
91,82,61
92,1000,169
93,366,103
94,1000,88
95,1000,113
96,477,65
97,119,49
98,464,111
99,1000,32
100,862,208
101,173,226
102,339,23
103,553,80
104,1000,103
105,1000,36
106,1000,314
107,822,188
108,97,181
109,127,259
110,158,39
111,275,89
112,1000,23
113,1000,75
114,1000,42
115,1000,43
116,1000,69
117,172,47
118,145,20
119,345,20
120,311,76
121,953,18
122,151,68
123,1000,19
124,46,23
125,1000,168
126,1000,50
127,1000,686
128,400,81
129,1000,629
130,303,177
131,108,78
132,574,274
133,1000,68
134,1000,50
135,1000,29
136,175,36
137,1000,60
138,487,38
139,1000,27
140,1000,11
141,22,116
142,1000,83
143,585,88
144,1000,121
145,1000,149
146,94,66
147,323,82
148,1000,173
149,1000,511
150,519,16
151,510,73
152,1000,289
153,65,88
154,216,74
155,1000,199
156,1000,42
157,1000,102
158,1000,173
159,393,10
160,435,41
161,1000,186
162,1000,242
163,369,112
164,1000,175
165,1000,37
166,1000,124
167,410,67
168,206,38
169,1000,119
170,633,93
171,1000,13
172,715,47
173,1000,32
174,282,21
175,220,8
176,1000,75
177,346,10
178,64,140
179,538,104
180,127,31
181,486,14
182,163,138
183,1000,56
184,1000,17
185,345,69
186,51,35
187,1000,8
188,1000,10
189,57,31
190,1000,337
191,550,26
192,17,110
193,1000,42
194,291,30
195,338,151
196,947,153
197,18,123
198,503,41
199,838,36
200,17,38
201,138,77
202,317,126
203,1000,23
204,1000,73
205,1000,61
206,54,34
207,342,42
208,1000,290
209,1000,47
210,570,123
211,33,76
212,169,31
213,934,36
214,38,60
215,1000,15
216,1000,188
217,1000,75
218,1000,117
219,1000,169
220,1000,112
221,105,105
222,1000,271
223,146,33
224,1000,188
225,446,105
226,1000,135
227,1000,19
228,343,123
229,562,293
230,1000,32
231,23,41
232,1000,347
233,1000,50
234,503,88
235,1000,370
236,1000,128
237,108,264
238,891,78
239,430,76
240,157,130
241,113,259
242,88,355
243,58,54
244,505,108
245,1000,335
246,497,29
247,29,35
248,57,41
249,544,25
250,576,113
251,809,14
252,172,138
253,1000,179
254,1000,12
255,409,18
256,930,72
257,1000,11
258,1000,32
259,1000,43
260,1000,77
261,1000,89
262,139,235
263,1000,79
264,414,16
265,923,26
266,310,101
267,998,106
268,445,29
269,571,53
270,16,33
271,29,79
272,1000,30
273,1000,108
274,1000,40
275,1000,18
276,184,111
277,302,99
278,1000,204
279,116,118
280,155,260
281,75,82
282,216,86
283,97,31
284,10,40
285,1000,207
286,57,63
287,1000,11
288,181,55
289,375,92
290,337,67
291,1000,156
292,247,115
293,1000,24
294,440,127
295,570,12
296,280,24
297,548,76
298,218,13
299,243,171
300,529,26
301,1000,134
302,220,32
303,290,116
304,1000,35
305,329,38
306,186,105
307,396,25
308,1000,8
309,394,52
310,141,10
311,274,21
312,1000,14
313,1000,47
314,1000,14
315,1000,11
316,50,102
317,388,37
318,172,17
319,587,122
320,167,10
321,134,60
322,948,231
323,197,67
324,810,28
325,608,62
326,200,27
327,358,49
328,49,13
329,33,30
330,464,140
331,1000,29
332,257,40
333,64,49
334,475,31
335,27,9
336,131,50
337,154,24
338,152,42
339,84,19
340,79,29
341,1000,34
342,163,48
343,773,33
344,431,18
345,150,41
346,869,48
347,632,140
348,232,53
349,117,49
350,91,84
351,586,67
352,498,65
353,1000,55
354,320,13
355,153,69
356,174,26
357,167,50
358,571,79
359,532,30
360,93,65
361,66,29
362,142,30
363,1000,36
364,540,92
365,497,49
366,1000,122
367,82,86
368,18,41
369,10,87
370,1000,62
371,224,23
372,373,50
373,1000,10
374,1000,145
375,1000,29
376,241,37
377,1000,26
378,290,103
379,474,11
380,1000,105
381,80,86
382,17,14
383,232,16
384,270,14
385,415,49
386,1000,59
387,203,64
388,532,89
389,118,37
390,136,19
391,193,72
392,540,52
393,169,27
394,1000,101
395,666,34
396,1000,61
397,1000,116
398,1000,56
399,233,32
400,170,83
401,283,130
402,1000,123
403,243,97
404,423,11
405,1000,100
406,64,11
407,1000,56
408,1000,139
409,175,97
410,1000,72
411,459,25
412,1000,69
413,229,32
414,250,159
415,1000,10
416,762,48
417,1000,12
418,1000,59
419,392,28
420,144,39
421,1000,25
422,168,140
423,302,97
424,123,130
425,1000,27
426,1000,76
427,1000,9
428,237,32
429,20,75
430,345,25
431,327,84
432,674,25
433,778,89
434,1000,29
435,144,28
436,18,56
437,451,81
438,550,78
439,1000,144
440,1000,41
441,202,123
442,97,23
443,221,92
444,250,37
445,1000,48
446,420,15
447,272,10
448,132,42
449,89,31
450,69,35
451,38,36
452,115,55
453,478,60
454,1000,75
455,1000,86
456,162,37
457,202,59
458,224,57
459,26,64
460,1000,90
461,240,129
462,55,43
463,1000,84
464,259,96
465,1000,29
466,41,11
467,111,32
468,103,30
469,254,111
470,326,28
471,166,13
472,111,11
473,124,47
474,1000,36
475,1000,46
476,760,84
477,276,37
478,1000,34
479,204,60
480,628,92
481,1000,326
482,269,29
483,1000,47
484,354,38
485,169,52
486,1000,51
487,50,50
488,1000,9
489,181,34
490,1000,85
491,785,96
492,110,64
493,1000,20
494,197,102
495,528,158
496,32,85
497,37,53
498,251,32
499,34,53
