episode,td_error
7,3.5063689
7,3.3065238
7,3.1733098
7,3.0276086
7,2.8201234
7,2.7411776
7,2.6807923
7,2.4317107
7,2.4170835
7,2.2052126
7,2.1753922
7,1.9970111
7,1.8824228
7,1.7939198
7,1.7985432
7,1.6434588
7,1.5987878
7,1.5414141
7,1.4309571
7,1.3960552
7,1.2936916
7,1.2618055
7,1.1597536
7,1.0979553
7,0.99123883
7,0.96177846
7,0.8651775
7,0.8000882
7,0.7233501
7,0.6715791
7,0.6171973
7,0.58732957
7,0.5148904
7,0.44529068
7,0.45199046
7,0.43087718
7,0.3961334
7,0.4249736
7,0.43360054
7,0.4146012
7,0.39716208
7,0.4505955
7,0.44955963
7,0.46889904
7,0.38823885
7,0.38712457
7,0.381675
7,0.40829813
7,0.37765056
7,0.3607517
7,0.41299665
7,0.4623788
7,0.41307658
7,0.4444136
7,0.41098383
7,0.3833574
7,0.3519777
7,0.394413
7,0.40928864
7,0.36562097
7,0.3647082
7,0.3338924
7,0.35692412
7,0.34350568
7,0.35432506
7,0.35698256
7,0.37093097
7,0.35793686
7,0.36603126
7,0.36283097
7,0.3432089
7,0.30586183
7,0.30599952
7,0.3080275
7,0.32567686
7,0.2809509
7,0.31572652
7,0.305032
7,0.26089263
7,0.27560586
7,0.2744729
7,0.27602613
7,0.26071432
7,0.2680071
7,0.27583748
7,0.29020467
7,0.26180857
7,0.2720217
7,0.28109607
7,0.28597444
7,0.2677986
7,0.25223348
7,0.23095036
7,0.24338222
7,0.23830211
7,0.2528454
7,0.23289458
7,0.25149128
7,0.24836248
7,0.25034913
7,0.25042188
7,0.24695928
7,0.27430212
7,0.2395595
7,0.26549193
7,0.25965837
7,0.24765989
7,0.22473262
7,0.20790553
7,0.24210271
7,0.22607708
7,0.22194825
7,0.21931349
7,0.28527313
7,0.2161195
7,0.2284461
7,0.24210285
7,0.22890371
7,0.21606249
7,0.21485694
7,0.24017207
7,0.24985968
7,0.20751828
7,0.19711882
7,0.21028736
7,0.22927809
7,0.21703056
7,0.20345086
7,0.21475285
7,0.19328187
7,0.21155617
7,0.21559468
7,0.20854875
7,0.2042921
7,0.20066503
7,0.20337099
7,0.22889383
7,0.1899988
7,0.18392076
7,0.19794063
7,0.20391333
7,0.22963369
7,0.18634397
7,0.18719515
7,0.19678861
7,0.19227333
7,0.17770843
7,0.19492686
7,0.18651587
7,0.18642402
7,0.19607154
7,0.18061127
7,0.19791447
7,0.2008357
7,0.20392618
7,0.19972652
7,0.22501695
7,0.19492584
7,0.20222566
7,0.26340318
7,0.19670138
7,0.19953015
7,0.21192497
7,0.19909309
7,0.20540622
7,0.21537545
7,0.20973936
7,0.20646982
7,0.17748073
7,0.1846833
7,0.18223469
7,0.19064912
7,0.19948241
7,0.18426695
7,0.19216082
7,0.1794057
7,0.18614799
7,0.18907157
7,0.20753683
7,0.20550612
7,0.16545977
7,0.19882737
7,0.18899879
7,0.2023306
7,0.21189463
7,0.20196728
7,0.22029708
7,0.22239691
7,0.2206118
7,0.20447409
7,0.22768775
7,0.22173601
7,0.22265618
7,0.21481529
7,0.19366384
7,0.2269964
7,0.22780672
7,0.21078095
7,0.20905401
7,0.22949722
7,0.23967415
7,0.24593496
7,0.22629875
7,0.21565248
7,0.21047065
7,0.20993954
7,0.18969569
7,0.23741582
7,0.23252538
7,0.21429984
7,0.22126669
7,0.21519567
7,0.20531744
7,0.21540645
7,0.22413293
7,0.24095136
7,0.20758379
7,0.2100968
7,0.22059098
7,0.19800985
7,0.21603762
7,0.21831736
7,0.22070207
7,0.20532766
7,0.21618584
7,0.2106095
7,0.21067509
7,0.20236169
7,0.20727463
7,0.22771804
7,0.22248004
7,0.22360386
7,0.22560415
7,0.21273169
7,0.24195012
7,0.20764385
7,0.2392337
7,0.22281577
7,0.22350587
7,0.22542176
7,0.20191424
7,0.23057759
7,0.26765642
7,0.18802765
7,0.21267438
7,0.25717008
7,0.21342221
7,0.2205761
7,0.22446609
7,0.22170037
7,0.24552642
7,0.23716609
7,0.21227749
7,0.22473992
7,0.20092045
7,0.21500829
7,0.21715298
7,0.25239748
7,0.22730795
7,0.21754
7,0.24602716
7,0.23911142
7,0.25364476
7,0.23858432
7,0.24048808
7,0.26694578
7,0.23559853
7,0.23893282
7,0.22842102
7,0.22740214
7,0.24043342
7,0.2188448
7,0.25804365
7,0.21779169
7,0.23618773
7,0.19130845
7,0.21825393
7,0.22749558
7,0.22729507
7,0.24391447
7,0.2451438
7,0.24232271
7,0.20836677
7,0.2263579
7,0.22388805
7,0.22806314
7,0.21133533
7,0.24708694
7,0.23180345
7,0.22850284
7,0.22475465
7,0.21568108
7,0.22093038
7,0.21383446
7,0.21062249
7,0.21795367
7,0.29142928
7,0.22154139
7,0.23225927
7,0.23410775
7,0.22971213
7,0.22029227
7,0.2280238
7,0.24241543
7,0.22831453
7,0.2670919
7,0.2818416
7,0.24486047
7,0.27900332
7,0.25903738
7,0.24523073
7,0.25270128
7,0.25572836
7,0.23775174
7,0.247549
7,0.24575037
7,0.2514426
7,0.21903764
7,0.22432142
7,0.23263559
7,0.22529358
7,0.24433465
7,0.23798656
7,0.230755
7,0.22873083
7,0.21738246
7,0.21814474
7,0.2218827
7,0.22009197
7,0.23522598
7,0.23472592
7,0.21830669
7,0.2203829
7,0.23366344
7,0.23736063
7,0.21367164
7,0.22555503
7,0.25304225
7,0.22819148
7,0.27180064
7,0.23372738
7,0.24732953
7,0.24193642
7,0.2094023
7,0.24397154
7,0.21028271
7,0.21554479
7,0.2225878
7,0.23024985
7,0.20865919
7,0.20622388
7,0.22816873
7,0.23150873
7,0.23100023
7,0.26280436
7,0.24530853
7,0.23671861
7,0.22955851
7,0.25432304
7,0.23189205
7,0.23654518
7,0.25916776
7,0.2320429
7,0.26918304
7,0.21697572
7,0.26463944
7,0.22792898
7,0.21861753
7,0.23009925
7,0.22847055
7,0.2286612
7,0.22238508
7,0.23525116
7,0.22209048
7,0.21583404
7,0.25028348
7,0.22449178
7,0.24855438
7,0.23938721
7,0.25383514
7,0.2566479
7,0.22729722
7,0.23647398
7,0.2540624
7,0.22783718
7,0.23713848
7,0.26806176
7,0.21144167
7,0.20156395
7,0.21465603
7,0.21030211
7,0.21020415
7,0.21918282
7,0.22013333
7,0.23375925
7,0.22190376
7,0.22151415
7,0.22450691
7,0.20541492
7,0.22589049
7,0.20775853
7,0.22862191
7,0.22566271
7,0.27840045
7,0.21354648
7,0.2402904
7,0.24363443
7,0.23373613
7,0.25294814
7,0.24023783
7,0.20923561
7,0.23474711
7,0.2141455
7,0.21297182
7,0.20861155
7,0.20812245
7,0.26464093
7,0.21842329
7,0.22632052
7,0.22505039
7,0.2170117
7,0.24011417
7,0.2230669
7,0.24823318
7,0.31838703
7,0.27556932
7,0.2626027
7,0.22721118
7,0.21966833
7,0.22732255
7,0.265141
7,0.24168852
7,0.21691774
7,0.22798118
7,0.22142294
7,0.27151147
7,0.2296029
7,0.20483756
7,0.20262763
7,0.22256237
7,0.20710625
7,0.22036418
7,0.20924973
7,0.22348079
7,0.21570405
7,0.21871877
7,0.20291837
7,0.21177074
7,0.21969742
7,0.23003575
7,0.22486374
7,0.23107529
7,0.22762889
7,0.21624517
7,0.22693913
7,0.22783948
7,0.2873652
7,0.22563064
7,0.21824247
7,0.21802351
7,0.21204391
7,0.24729663
7,0.19218792
7,0.20956403
7,0.2192074
7,0.21448407
7,0.21646918
7,0.21462746
7,0.22274473
7,0.22135487
7,0.21475613
7,0.23620251
7,0.23060691
7,0.20967835
7,0.21284533
