step,mujoco_step_times,brax_step_times
0,0.00023603439331054688,
1,6.079673767089844e-05,
2,4.506111145019531e-05,
3,3.981590270996094e-05,
4,3.981590270996094e-05,
5,3.814697265625e-05,
6,3.6716461181640625e-05,
7,3.5762786865234375e-05,
8,3.886222839355469e-05,
9,4.291534423828125e-05,
10,4.100799560546875e-05,
11,3.5762786865234375e-05,
12,3.719329833984375e-05,
13,4.1961669921875e-05,
14,4.887580871582031e-05,
15,3.695487976074219e-05,
16,4.315376281738281e-05,
17,3.5762786865234375e-05,
18,3.695487976074219e-05,
19,3.504753112792969e-05,
20,3.600120544433594e-05,
21,3.790855407714844e-05,
22,3.814697265625e-05,
23,3.5762786865234375e-05,
24,4.076957702636719e-05,
25,4.410743713378906e-05,
26,4.1961669921875e-05,
27,4.38690185546875e-05,
28,4.291534423828125e-05,
29,3.5762786865234375e-05,
30,3.528594970703125e-05,
31,3.719329833984375e-05,
32,3.4809112548828125e-05,
33,3.6716461181640625e-05,
34,3.600120544433594e-05,
35,4.100799560546875e-05,
36,3.504753112792969e-05,
37,3.504753112792969e-05,
38,3.5762786865234375e-05,
39,4.220008850097656e-05,
40,3.790855407714844e-05,
41,3.62396240234375e-05,
42,3.790855407714844e-05,
43,3.504753112792969e-05,
44,3.600120544433594e-05,
45,3.62396240234375e-05,
46,4.506111145019531e-05,
47,4.100799560546875e-05,
48,4.1961669921875e-05,
49,3.981590270996094e-05,
50,3.600120544433594e-05,
51,3.695487976074219e-05,
52,4.1961669921875e-05,
53,4.100799560546875e-05,
54,3.981590270996094e-05,
55,3.981590270996094e-05,
56,4.00543212890625e-05,
57,4.076957702636719e-05,
58,4.315376281738281e-05,
59,4.1961669921875e-05,
60,4.100799560546875e-05,
61,3.62396240234375e-05,
62,3.504753112792969e-05,
63,3.695487976074219e-05,
64,3.600120544433594e-05,
65,3.981590270996094e-05,
66,3.600120544433594e-05,
67,3.5762786865234375e-05,
68,4.00543212890625e-05,
69,3.981590270996094e-05,
70,4.1961669921875e-05,
71,4.291534423828125e-05,
72,4.1961669921875e-05,
73,4.410743713378906e-05,
74,4.124641418457031e-05,
75,3.504753112792969e-05,
76,3.504753112792969e-05,
77,3.3855438232421875e-05,
78,3.3855438232421875e-05,
79,4.410743713378906e-05,
80,4.506111145019531e-05,
81,3.600120544433594e-05,
82,3.409385681152344e-05,
83,3.695487976074219e-05,
84,3.600120544433594e-05,
85,3.790855407714844e-05,
86,4.100799560546875e-05,
87,0.00015783309936523438,
88,6.079673767089844e-05,
89,4.410743713378906e-05,
90,4.1961669921875e-05,
91,3.814697265625e-05,
92,4.1961669921875e-05,
93,4.38690185546875e-05,
94,4.076957702636719e-05,
95,4.38690185546875e-05,
96,4.100799560546875e-05,
97,3.62396240234375e-05,
98,4.1961669921875e-05,
99,4.1961669921875e-05,
100,4.100799560546875e-05,
101,4.00543212890625e-05,
102,4.1961669921875e-05,
103,4.291534423828125e-05,
104,4.410743713378906e-05,
105,4.00543212890625e-05,
106,4.1961669921875e-05,
107,3.886222839355469e-05,
108,3.4809112548828125e-05,
109,4.38690185546875e-05,
110,3.62396240234375e-05,
111,4.38690185546875e-05,
112,4.1961669921875e-05,
113,4.1961669921875e-05,
114,3.600120544433594e-05,
115,3.719329833984375e-05,
116,4.410743713378906e-05,
117,4.029273986816406e-05,
118,4.1961669921875e-05,
119,4.410743713378906e-05,
120,3.504753112792969e-05,
121,4.1961669921875e-05,
122,4.00543212890625e-05,
123,3.600120544433594e-05,
124,4.100799560546875e-05,
125,3.910064697265625e-05,
126,4.291534423828125e-05,
127,4.291534423828125e-05,
128,4.410743713378906e-05,
129,4.315376281738281e-05,
130,4.1961669921875e-05,
131,4.1961669921875e-05,
132,4.291534423828125e-05,
133,4.1961669921875e-05,
134,4.100799560546875e-05,
135,4.363059997558594e-05,
136,4.100799560546875e-05,
137,3.981590270996094e-05,
138,3.504753112792969e-05,
139,4.00543212890625e-05,
140,3.814697265625e-05,
141,4.124641418457031e-05,
142,4.029273986816406e-05,
143,4.00543212890625e-05,
144,4.00543212890625e-05,
145,4.076957702636719e-05,
146,3.62396240234375e-05,
147,4.1961669921875e-05,
148,3.910064697265625e-05,
149,3.814697265625e-05,
150,3.910064697265625e-05,
151,3.886222839355469e-05,
152,4.887580871582031e-05,
153,4.291534423828125e-05,
154,4.124641418457031e-05,
155,4.291534423828125e-05,
156,3.981590270996094e-05,
157,3.695487976074219e-05,
158,3.409385681152344e-05,
159,4.1961669921875e-05,
160,4.506111145019531e-05,
161,4.291534423828125e-05,
162,4.029273986816406e-05,
163,4.291534423828125e-05,
164,4.291534423828125e-05,
165,3.981590270996094e-05,
166,3.790855407714844e-05,
167,3.361701965332031e-05,
168,3.409385681152344e-05,
169,3.600120544433594e-05,
170,3.4809112548828125e-05,
171,3.409385681152344e-05,
172,4.315376281738281e-05,
173,3.790855407714844e-05,
174,3.981590270996094e-05,
175,4.100799560546875e-05,
176,4.291534423828125e-05,
177,3.6716461181640625e-05,
178,3.62396240234375e-05,
179,4.1961669921875e-05,
180,4.076957702636719e-05,
181,3.981590270996094e-05,
182,4.100799560546875e-05,
183,3.719329833984375e-05,
184,4.1961669921875e-05,
185,4.506111145019531e-05,
186,3.910064697265625e-05,
187,4.00543212890625e-05,
