episode,mujoco_steps,brax_steps
0,1000,89
1,1000,136
2,1000,290
3,1000,24
4,1000,7
5,1000,20
6,72,68
7,219,32
8,1000,11
9,1000,13
10,1000,23
11,1000,36
12,1000,14
13,169,72
14,1000,30
15,1000,72
16,1000,19
17,1000,26
18,1000,110
19,1000,49
20,1000,11
21,1000,113
22,1000,58
23,1000,11
24,1000,20
25,1000,16
26,492,100
27,1000,12
28,1000,47
29,1000,100
30,337,61
31,1000,166
32,1000,24
33,1000,37
34,1000,68
35,1000,65
36,1000,11
37,1000,94
38,1000,13
39,1000,16
40,1000,188
41,792,90
42,1000,136
43,1000,63
44,1000,183
45,1000,125
46,1000,121
47,48,164
48,1000,56
49,1000,16
50,199,30
51,108,123
52,1000,40
53,1000,68
54,1000,30
55,201,75
56,1000,96
57,1000,51
58,617,117
59,1000,30
60,1000,29
61,524,195
62,1000,104
63,1000,56
64,162,16
65,403,36
66,1000,53
67,340,34
68,67,13
69,375,32
70,68,83
71,1000,65
72,1000,128
73,245,229
74,51,100
75,1000,35
76,1000,205
77,1000,34
78,168,95
79,1000,288
80,1000,165
81,1000,59
82,85,44
83,450,13
84,1000,39
85,1000,231
86,473,89
87,1000,63
88,1000,14
89,835,151
90,1000,73
91,261,25
92,214,224
93,99,189
94,184,90
95,1000,246
96,1000,40
97,1000,228
98,1000,351
99,550,137
100,1000,438
101,44,29
102,1000,108
103,132,99
104,1000,19
105,1000,90
106,676,19
107,685,451
108,1000,328
109,1000,209
110,1000,1000
111,1000,160
112,1000,207
113,133,112
114,1000,38
115,1000,552
116,676,269
117,1000,446
118,704,557
119,1000,245
120,191,124
121,1000,863
122,1000,348
123,1000,147
124,1000,1000
125,1000,387
126,1000,318
127,1000,1000
128,221,1000
129,1000,225
130,1000,453
131,1000,291
132,18,1000
133,69,1000
134,1000,331
135,293,1000
136,1000,833
137,1000,366
138,1000,46
139,1000,53
140,971,1000
141,96,116
142,1000,373
143,646,267
144,1000,1000
145,1000,775
146,1000,1000
147,1000,1000
148,258,156
149,602,510
150,1000,35
151,1000,23
152,1000,41
153,1000,118
154,734,534
155,1000,312
156,935,504
157,1000,946
158,1000,150
159,1000,590
160,184,684
161,1000,150
162,1000,1000
163,1000,398
164,1000,1000
165,1000,1000
166,1000,1000
167,1000,1000
168,1000,1000
169,1000,1000
170,1000,1000
171,701,1000
172,1000,709
173,1000,1000
174,1000,1000
175,624,152
176,241,96
177,211,651
178,1000,1000
179,1000,263
180,1000,81
181,154,438
182,181,507
183,1000,196
184,1000,1000
185,236,129
186,1000,886
187,722,1000
188,1000,1000
189,1000,997
190,748,77
191,1000,614
192,1000,1000
193,601,267
194,1000,1000
195,1000,203
196,1000,1000
197,1000,393
198,1000,114
199,87,109
200,609,642
201,1000,551
202,884,415
203,689,107
204,1000,1000
205,1000,556
206,625,327
207,1000,217
208,1000,1000
209,1000,498
210,1000,33
211,781,809
212,560,998
213,1000,1000
214,1000,985
215,800,50
216,1000,97
217,582,1000
218,1000,1000
219,1000,1000
220,603,444
221,602,86
222,1000,374
223,25,1000
224,1000,893
225,1000,13
226,1000,109
227,1000,219
228,1000,366
229,1000,521
230,676,196
231,1000,1000
232,1000,1000
233,1000,892
234,1000,1000
235,1000,72
236,1000,542
237,115,297
238,411,1000
239,1000,449
240,1000,1000
241,1000,1000
242,1000,1000
243,39,1000
244,1000,197
245,489,1000
246,1000,1000
247,1000,1000
248,1000,629
249,1000,1000
250,984,452
251,1000,282
252,1000,351
253,1000,431
254,1000,13
255,1000,1000
256,1000,1000
257,1000,217
258,1000,806
259,1000,629
260,1000,787
261,1000,1000
262,1000,643
263,1000,1000
264,1000,1000
265,1000,1000
266,1000,25
267,190,299
268,1000,203
269,1000,101
270,1000,302
271,1000,149
272,1000,537
273,296,930
274,1000,70
275,1000,443
276,1000,312
277,1000,366
278,1000,1000
279,1000,548
280,1000,926
281,399,1000
282,1000,1000
283,1000,978
284,1000,1000
285,1000,896
286,1000,738
287,1000,327
288,1000,813
289,1000,638
290,1000,1000
291,1000,246
292,1000,76
293,1000,71
294,1000,1000
295,1000,1000
296,1000,1000
297,1000,1000
298,1000,1000
299,1000,228
300,1000,1000
301,1000,110
302,1000,1000
303,1000,1000
304,1000,1000
305,96,600
306,315,513
307,1000,511
308,1000,1000
309,1000,571
310,1000,265
311,1000,648
312,1000,404
313,262,1000
314,1000,631
315,1000,410
316,1000,1000
317,1000,1000
318,1000,1000
319,1000,675
320,1000,976
321,1000,429
322,1000,790
323,1000,42
324,1000,951
325,1000,234
326,1000,479
327,1000,472
328,1000,343
329,1000,1000
330,1000,162
331,227,994
332,1000,1000
333,1000,892
334,1000,110
335,838,123
336,1000,492
337,1000,1000
338,1000,171
339,1000,401
340,1000,467
341,1000,183
342,1000,256
343,1000,1000
344,1000,905
345,1000,1000
346,1000,602
347,1000,1000
348,114,1000
349,1000,469
350,1000,1000
351,1000,1000
352,1000,145
353,1000,423
354,1000,1000
355,1000,961
356,1000,1000
357,1000,720
358,1000,25
359,1000,173
360,356,451
361,53,161
362,1000,1000
363,1000,1000
364,1000,1000
365,1000,701
366,1000,587
367,1000,133
368,1000,1000
369,1000,785
370,1000,1000
371,1000,60
372,1000,1000
373,1000,854
374,1000,1000
375,852,756
376,1000,331
377,1000,1000
378,312,911
379,1000,1000
380,1000,98
381,1000,159
382,1000,146
383,1000,1000
384,1000,1000
385,1000,1000
386,1000,1000
387,925,169
388,1000,923
389,1000,1000
390,248,71
391,1000,458
392,1000,868
393,1000,648
394,1000,1000
395,1000,1000
396,1000,702
397,1000,1000
398,1000,1000
399,1000,156
400,1000,205
401,617,269
402,1000,858
403,1000,23
404,1000,1000
405,1000,281
406,117,1000
407,1000,153
408,701,118
409,1000,334
410,1000,312
411,1000,1000
412,1000,580
413,1000,321
414,665,62
415,1000,1000
416,292,129
417,1000,1000
418,1000,1000
419,1000,86
420,1000,865
421,1000,14
422,1000,344
423,1000,346
424,1000,1000
425,1000,751
426,1000,1000
427,1000,217
428,1000,1000
429,1000,81
430,1000,13
431,1000,1000
432,1000,784
433,1000,751
434,1000,456
435,1000,667
436,1000,1000
437,1000,736
438,1000,1000
439,1000,82
440,1000,751
441,1000,1000
442,1000,233
443,1000,1000
444,1000,157
445,1000,1000
446,720,1000
447,1000,323
448,1000,557
449,1000,82
450,1000,178
451,170,428
452,570,704
453,1000,1000
454,1000,261
455,1000,1000
456,1000,1000
457,1000,1000
458,1000,669
459,1000,1000
460,1000,944
461,333,1000
462,1000,418
463,1000,220
464,1000,356
465,200,471
466,219,498
467,1000,1000
468,1000,878
469,1000,232
470,1000,175
471,720,371
472,1000,363
473,1000,507
474,1000,1000
475,1000,1000
476,1000,807
477,1000,799
478,611,61
479,1000,1000
480,1000,953
481,1000,517
482,1000,898
483,1000,1000
484,1000,1000
485,254,226
486,1000,272
487,168,971
488,1000,1000
489,1000,993
490,1000,1000
491,1000,848
492,1000,311
493,1000,320
494,1000,179
495,1000,1000
496,1000,590
497,1000,314
498,1000,491
499,152,1000
