episode,instance_0_reward,instance_1_reward
0,-8.510542849620403,50.18253225351509
1,-8.198174629405987,40.34306645610923
2,-228.57384676248842,-1608.5629513827153
3,-498.3671374919544,-625.025333609432
4,-443.8111268341287,-1612.9015850946307
5,195.77256823793175,-621.6754529573955
6,-36.25386873343007,-183.44341003103182
7,-289.40157508062674,-359.4017243841663
8,-738.6655324210926,-56.73304706742056
9,-189.90493583636976,-1896.3071542927064
10,-193.83667834685016,-386.38760276843095
11,-97.68352775740408,-5.6445499131514225
12,-51.91529633512512,12.554550641652895
13,-51.83492604250726,-9.218032532153302
14,-95.44168185789106,32.08111274585826
15,58.408268466010654,96.03315081202891
16,73.67724774612188,115.47490010323236
17,194.85257320323998,191.0714350618655
18,-229.81710322047599,-208.08811408188194
19,14.490624920572031,-279.3100551919779
20,338.9683025449586,257.3070599603816
21,253.16801245427104,500.9018445285037
22,337.4020714758286,504.8709933264181
23,405.97633838404124,467.531702768174
24,521.2911191982068,659.7877090992406
25,557.8691515562758,702.2569061219692
26,700.9056931441355,908.4074478847906
27,718.5953581272217,964.1793254744262
28,825.1292939498151,590.9575243077707
29,802.710902049392,99.92981245520059
30,892.6297265262964,628.0705282522831
31,911.896764915024,969.2059041904286
32,860.0225680675246,1129.399003662169
33,845.9123099696402,1095.8913084107917
34,767.0414447580908,1067.2397260926664
35,892.2548948320045,2001.5449444232509
36,865.5519021288814,2127.440037447959
37,853.6816484785345,1359.3723605258856
38,965.8258182715624,1325.0422630435787
39,916.4296152993895,1219.4529229216278
40,1056.762431966568,1870.2540555465966
41,1051.7179747485673,1798.53179115057
42,1130.1946204480753,2118.244761005044
43,1118.6136493997362,1835.8189886920154
44,1040.6548155591947,2395.7209260107484
45,1111.1035866366014,2337.0206624437124
46,1148.0256286224403,2370.632434503874
47,1174.9833313460501,2295.064647641033
48,1143.401062988264,2427.115203687921
49,1279.592572111798,2390.006030086428
50,1240.712684814988,2447.3136193482205
51,1291.676804876119,2388.88454811892
52,1280.5964629518,2218.079262830317
53,1129.8016136897947,2408.4360306020826
54,1275.742178256368,2384.1883634170517
55,1195.3174062502715,2310.7818030500785
56,1203.9309483372426,2407.782533813268
57,1157.2341153741586,2401.7590838223696
58,1169.7016213257073,2490.9916472882032
59,1233.2917892292285,2405.6602061241865
60,1187.1131712599904,2395.9453324077767
61,1247.0646923237987,2481.7984215654433
62,1267.8357900727733,2514.9952504169196
63,1178.9046076538905,2514.7610344812274
64,1196.4461121175173,2497.2181688924256
65,1255.135337312669,2564.0706418990158
66,1195.910535845144,2512.1823131367564
67,1184.8070098826126,2590.373095382005
68,1260.7085200044653,2561.6496811080724
69,1212.85459131449,2589.799438945949
70,1177.2547926684279,2667.838699964457
71,1273.1325683693867,2756.721467494499
72,1259.2832472993891,2694.033932214603
73,1202.9477174764634,2710.7416300792247
74,1236.5991642410536,2784.4533511325717
75,1185.5626389797408,2776.0862644519657
76,1263.0417301462783,2492.357531497255
77,1130.0499307965533,2837.1019040867686
78,1237.5739980423682,2936.2311820201576
79,1247.508860895047,3000.061520624906
80,1305.5376314966031,2038.06093300879
81,1366.1853793638954,3305.2239096369594
82,1259.896449153446,3297.9542800448835
83,1373.131889626233,2278.3768925275654
84,1391.6080052482466,2616.2725262558088
85,1413.790178697337,3394.1456392009277
86,1428.8026413030038,2639.3934995522723
87,1438.5694604081643,2876.4479510057718
88,1331.0276694554823,2758.5536077208817
89,1345.30683297225,2779.17974474933
90,1300.6390536829388,2908.0537845268846
91,1389.876026628431,2746.7891060337424
92,1315.7314141648053,-322.93764982193534
93,1269.6030747208506,2901.452859922545
94,1278.7721999695775,2712.223284247797
95,1380.6022135767075,2733.008477985859
96,1354.62724809354,2763.6311145424843
97,1371.6917952436638,3309.09805275104
98,1416.3954905862795,2792.4287480395287
99,1220.6614363354786,2850.2344618588686
100,1453.438130182566,2672.545351104811
101,1439.6864456920712,2902.679617582471
102,1312.7516347380588,2710.979309756309
103,1347.7506964198687,2750.3310219105333
104,1346.9820927941166,2686.671839499555
105,1336.136386945253,2909.4644807465374
106,1431.4046810629825,2861.1639203662053
107,1315.8032399724884,2852.4674336174503
108,1190.9194730667225,2923.445650089532
109,1250.8528440452185,3034.3881476923707
110,1244.3047973310943,2987.6079905135557
111,1364.523854100964,2688.160550164059
112,1334.8932451053606,2756.739841733128
113,1276.0792988608064,2573.43281981349
114,1025.1257734240423,2442.0745234126225
115,1129.484543277289,2581.468323139474
116,1186.372270701885,2490.622930638492
117,1257.7521445837208,2569.5690712481737
118,1217.4449366530828,2828.8271510433406
119,1229.8468784398683,3029.933510515839
120,1259.312447235951,3131.228441875428
121,1202.652673139602,2851.2843375205994
122,1298.0176585972881,2719.63062675111
123,1182.4806978734753,2830.0936123807915
124,1113.4170858564626,2749.618137549667
125,1190.5458989082483,2800.882858455181
126,1130.5065056986623,2907.221740819514
127,1259.0992101257168,2940.46235717088
128,1270.9449658028752,2673.8179864548147
129,1259.4141182059318,2630.918862976134
130,1241.7150111789967,2650.555127132684
131,1198.4989528485808,2826.2647742293775
132,1332.3852838176122,2701.3750088009983
133,1355.5155545863563,2687.0631801579148
134,1240.5443467058096,2903.6400678493083
135,1245.109927185871,2661.0983383189887
136,1325.624323590014,2763.6081689186394
137,1224.4952061613117,2884.8850513454527
138,1202.6547040745977,2843.0017932392657
139,1077.5597768082769,2927.894955776632
140,1114.9812823115483,2834.909242518246
141,1242.3616199615842,2800.9739879071712
142,1292.4669732772784,2870.8911986276507
143,1024.841481418348,2781.526113592088
144,1224.6003632858203,2784.0974616357125
145,1243.8867944121985,2632.503262884915
146,1247.0818303472442,2812.095326273702
147,1260.3469792271285,2815.2796116545796
148,1274.7262112731628,2877.1915319191758
149,1223.2716360230756,2729.1090706288815
150,1175.8766934502491,2799.624792665243
151,1147.9693436468892,2636.3278144600336
152,1269.4825590801045,2612.519447416067
153,1282.6255393756203,2702.6106823533773
154,1252.5866957402652,2626.5589806437492
155,1313.310694111989,2834.725677344948
156,1305.1971240945868,2712.3632325343788
157,1294.9756033784738,2485.4901411738247
158,1240.000157310461,2562.231268571224
159,1216.1181325308362,2729.253219289705
160,1276.950569242323,2776.622469238937
161,1306.4342911689703,2909.5233995616436
162,1387.9814215378324,2920.4382165969582
163,1339.2925075970675,2828.6357666142285
164,1213.0181220413747,2714.948822814971
165,1371.0392516633237,2846.949808910489
166,1099.652355093169,2737.6948662279174
167,1308.8499000747333,2879.81265322119
168,1275.1963187775575,3049.1306267865
169,1216.9386649042467,2952.3339849654585
170,1193.365327311745,2709.670385762118
171,1181.634753504083,2739.377053130418
172,1299.3415603314697,-146.6973578686884
173,1404.3260710022155,2931.62879441306
174,1314.5212120515343,2765.6051750443876
175,1293.5108169513583,2711.4922576397657
176,1230.1866991123188,2849.78471390903
177,1329.7780490363918,2628.872873991728
178,1283.6655851385694,2944.137617751956
179,1220.999960456928,2675.660679154098
180,1171.7144832733593,2846.2627350711264
181,1162.2371797215737,2808.5094868084416
182,1252.0422106763199,2961.621513284743
183,1205.5359463003144,2476.789906771155
184,1259.9093054777097,2914.5252109616995
185,1273.4912747794842,2953.954892642796
186,1202.5686855679041,2921.2853195108473
187,1302.0258975789602,2847.507978156209
188,1292.9408559974772,2806.9231640398502
189,1349.1373837361095,2960.3067693300545
190,1261.95395720883,3005.871691290289
191,1251.3639457702236,3038.5478238938376
192,1366.0508420113217,3059.9638711214066
193,1261.3592268511725,3032.131479099393
194,1217.7732599278843,2806.57860917598
195,1360.0530054211295,3017.2373665375635
196,1219.2413366181481,2885.856278328225
197,1288.8034002445818,2873.9659272339195
198,1122.7382873649115,2851.8835733644664
199,1229.404549343251,2783.1700689941645
200,1305.9517967382621,3022.9669404253364
201,1226.314397604881,3058.912731179502
202,1162.6874711653456,3078.9510406865447
203,1177.406448302144,2972.32965620514
204,1191.6146739341557,2935.150774821639
205,1300.9821719158997,2935.087854001671
206,1247.7828007497596,2832.6800212413073
207,1344.8330206947219,2978.455237730406
208,1212.5752134423337,3027.60642310977
209,1252.4406842206272,2993.00094671594
210,1190.6395632850056,2952.5855852738023
211,1149.8257813746973,2952.879029640928
