step,mujoco_step_times,brax_step_times
0,0.0008230209350585938,0.011474847793579102
1,5.507469177246094e-05,0.0014088153839111328
2,0.00017213821411132812,0.0020017623901367188
3,0.00012803077697753906,0.0010459423065185547
4,5.7220458984375e-05,0.0011782646179199219
5,4.7206878662109375e-05,0.0010390281677246094
6,4.792213439941406e-05,0.0015680789947509766
7,4.8160552978515625e-05,0.0013349056243896484
8,4.1961669921875e-05,0.0010402202606201172
9,4.363059997558594e-05,0.0010879039764404297
10,8.106231689453125e-05,0.0010869503021240234
11,4.38690185546875e-05,0.0010058879852294922
12,3.886222839355469e-05,0.0008330345153808594
13,4.696846008300781e-05,0.0012230873107910156
14,6.079673767089844e-05,0.0010738372802734375
15,4.6253204345703125e-05,0.0010721683502197266
16,4.100799560546875e-05,0.0009908676147460938
17,6.461143493652344e-05,0.0008697509765625
18,3.790855407714844e-05,0.0009350776672363281
19,3.790855407714844e-05,0.0007750988006591797
20,4.38690185546875e-05,0.0008170604705810547
21,3.695487976074219e-05,0.0008859634399414062
22,4.291534423828125e-05,0.0012559890747070312
23,3.6716461181640625e-05,0.0016770362854003906
24,3.600120544433594e-05,0.0008399486541748047
25,4.076957702636719e-05,0.0010128021240234375
26,4.1961669921875e-05,0.0010409355163574219
27,4.410743713378906e-05,0.0013051033020019531
28,3.790855407714844e-05,0.0010826587677001953
29,4.506111145019531e-05,0.0008080005645751953
30,3.814697265625e-05,0.0009360313415527344
31,3.719329833984375e-05,0.0008387565612792969
32,3.695487976074219e-05,0.0014677047729492188
33,4.315376281738281e-05,0.0009539127349853516
34,4.696846008300781e-05,0.0008230209350585938
35,4.410743713378906e-05,0.0009379386901855469
36,4.410743713378906e-05,0.0008368492126464844
37,4.410743713378906e-05,0.0007569789886474609
38,3.886222839355469e-05,0.0009419918060302734
39,9.489059448242188e-05,0.0015308856964111328
40,6.008148193359375e-05,0.0008592605590820312
41,7.510185241699219e-05,0.0008389949798583984
42,8.916854858398438e-05,0.0008499622344970703
43,5.1975250244140625e-05,0.0008020401000976562
44,4.506111145019531e-05,0.0010330677032470703
45,4.291534423828125e-05,0.0020270347595214844
46,9.107589721679688e-05,0.0011022090911865234
47,4.506111145019531e-05,0.0008578300476074219
48,5.0067901611328125e-05,0.001378774642944336
49,5.888938903808594e-05,0.0020589828491210938
50,6.771087646484375e-05,0.001110076904296875
51,4.982948303222656e-05,0.0008797645568847656
52,4.7206878662109375e-05,0.0012462139129638672
53,5.1975250244140625e-05,0.0008718967437744141
54,4.410743713378906e-05,0.000759124755859375
55,5.0067901611328125e-05,0.0008130073547363281
56,4.291534423828125e-05,0.0008170604705810547
57,4.100799560546875e-05,0.0009200572967529297
58,4.100799560546875e-05,0.0009448528289794922
59,4.291534423828125e-05,0.0008461475372314453
60,4.601478576660156e-05,0.0008981227874755859
61,4.6253204345703125e-05,0.0008339881896972656
62,4.601478576660156e-05,0.0008380413055419922
63,4.124641418457031e-05,0.0010149478912353516
64,4.220008850097656e-05,0.0009229183197021484
65,4.315376281738281e-05,0.0008370876312255859
66,4.1961669921875e-05,0.0008327960968017578
67,5.078315734863281e-05,0.0008459091186523438
68,4.1961669921875e-05,0.0009341239929199219
69,4.6253204345703125e-05,0.0009648799896240234
70,4.124641418457031e-05,0.0012729167938232422
71,4.410743713378906e-05,0.0009710788726806641
72,3.981590270996094e-05,0.0012960433959960938
73,4.8160552978515625e-05,0.0011420249938964844
74,4.315376281738281e-05,0.0011060237884521484
75,9.608268737792969e-05,0.0013108253479003906
76,5.364418029785156e-05,0.0009186267852783203
77,5.1021575927734375e-05,0.0010790824890136719
78,4.1961669921875e-05,0.0011532306671142578
79,4.267692565917969e-05,0.0010890960693359375
80,4.00543212890625e-05,0.001096963882446289
81,4.124641418457031e-05,0.0008959770202636719
82,3.910064697265625e-05,0.0009288787841796875
83,4.220008850097656e-05,0.001024007797241211
84,4.291534423828125e-05,0.0032367706298828125
85,4.482269287109375e-05,0.0013649463653564453
86,4.9114227294921875e-05,0.0009329319000244141
87,4.100799560546875e-05,0.0010499954223632812
88,4.076957702636719e-05,0.0013833045959472656
89,3.886222839355469e-05,0.0009739398956298828
90,4.1961669921875e-05,0.0008387565612792969
91,4.57763671875e-05,0.0011951923370361328
92,8.20159912109375e-05,0.0008831024169921875
93,6.794929504394531e-05,0.0014719963073730469
94,6.985664367675781e-05,0.0009799003601074219
95,5.602836608886719e-05,0.0010259151458740234
96,4.506111145019531e-05,0.0009272098541259766
97,4.57763671875e-05,0.0010488033294677734
98,4.124641418457031e-05,0.0009620189666748047
99,4.1961669921875e-05,0.0010037422180175781
100,4.1961669921875e-05,0.0011489391326904297
101,6.127357482910156e-05,0.0009121894836425781
102,4.982948303222656e-05,0.0014050006866455078
103,4.1961669921875e-05,0.0010950565338134766
104,4.291534423828125e-05,0.0013401508331298828
105,5.0067901611328125e-05,0.0008471012115478516
106,4.1961669921875e-05,0.0008141994476318359
107,4.696846008300781e-05,0.0010156631469726562
108,4.1961669921875e-05,0.0008821487426757812
109,4.100799560546875e-05,0.0008161067962646484
110,4.124641418457031e-05,0.0009770393371582031
111,7.104873657226562e-05,0.0008220672607421875
112,4.506111145019531e-05,0.0008609294891357422
113,0.00010180473327636719,0.0007963180541992188
114,4.00543212890625e-05,0.0008268356323242188
115,4.8160552978515625e-05,0.0009241104125976562
