episode,mujoco_reward,brax_reward
0,-5.959514654062672,45.44548274460249
1,-10.16613661181528,42.61764340964146
2,-283.1344557697826,-991.0564983040094
3,-586.9544004717145,-1377.2414155602455
4,-123.52331943600228,-1238.07232812047
5,-363.33717018130017,-647.0417215526104
6,-354.73590862842235,-1012.624928727746
7,-414.60338369592665,-540.4353366456926
8,-366.65215526231776,-685.5041106902063
9,-456.7471004348134,-3705.129322603345
10,-273.3512346065933,-1160.2809497639537
11,-241.1863367468817,-846.3490365790203
12,-133.9675357838932,-1080.5532153621316
13,-4.868407602577019,-545.8788269907236
14,27.839425376749908,-639.0035035684705
15,167.80888312858343,-735.9630407914519
16,278.4459862660122,-648.9639335423708
17,500.75287430117464,-462.69320365041494
18,426.38390642551656,-743.2407130748034
19,488.97765057431917,-582.8966051489115
20,552.6338816723385,-616.7172603346407
21,559.6375027165176,-857.7757711708546
22,567.057434408988,-1783.3503595516086
23,575.0827494246432,-581.7028305530548
24,679.986718349558,-499.7656313292682
25,636.8443970858025,-1127.5566075891256
26,635.7963612671414,-1563.5098552256823
27,709.8107489103713,-1471.5806444734335
28,739.5149650387444,-1503.258852377534
29,875.5094381616746,-901.8166257571429
30,847.9746125609075,-1474.6169337108731
31,835.2597224473384,-633.3689563572407
32,899.2190519854018,-759.6117409616709
33,851.5586599453385,-775.7589072287083
34,860.3387652929455,-529.4513364667073
35,908.0926428921159,-516.5225931331515
36,902.4242051308966,-738.5756653770804
37,977.7773260892271,-1543.3861354142427
38,994.3118252173078,-633.0447552502155
39,1065.9886159668563,-592.4200443252921
40,1012.231532574293,-610.384155003354
41,1003.4443336826953,-589.4032360315323
42,943.9650909494064,-641.3414986766875
43,1046.6525858291393,-574.0453741848469
44,948.0637656834383,-599.8494702726603
45,1081.773810455128,-512.6137159503996
46,1078.3965713523705,-510.1276109367609
47,1124.905968630288,-602.6967578306794
48,1201.1684501003406,-1877.3396939486265
49,912.2969758188242,-769.3753776457161
50,1072.9623823588681,-694.7089989967644
51,1202.113108452261,-580.6552499458194
52,1122.4553300495556,-1023.8638184666634
53,1048.5749840061565,-403.2775686830282
54,1167.3756282887234,-574.3200028240681
55,913.6788785478261,-409.10560347139835
56,1171.3164785563936,-529.7636222988367
57,1048.9440051893102,-600.6858915686607
58,1211.5942820805635,-586.435938809067
59,1370.4370567880867,-774.6703884676099
60,1323.4726053959218,-546.9751233011484
61,1099.4000063026776,-425.4300992228091
62,1099.2790544355166,-501.0461165830493
63,1116.4157813820866,220.2388838082552
64,987.1193050211787,-582.1462154984474
65,1176.9376032758728,-372.5508126318455
66,944.7001790764086,-581.7746073305607
67,789.786181711475,-782.6134985908866
68,806.5505407556266,-443.24315445125103
69,1387.4974403277504,1137.581208601594
70,1124.531579638779,-561.0184114128351
71,1062.4935632382737,-524.9814340099692
72,1545.6549202794524,-527.9388103336096
73,1522.9503468578043,-741.3478935882449
74,1638.443896208576,-391.078669257462
75,1417.710285362295,-362.68503684550524
76,1557.7642345446677,-501.1684020087123
77,1640.8780992218844,98.53192518651485
78,1663.5890128508672,-497.04021809250116
79,1564.1911986363343,-554.5504324436188
80,1719.5744937068887,-491.5930160880089
81,1788.0630330667652,-460.78723057359457
82,1740.3446422792922,-385.63249412178993
83,1626.9802352124984,-566.1281361654401
84,1730.8001994449983,-396.31753823161125
85,1723.143245747616,-481.7144207060337
86,1652.8654865901362,-416.56750194728374
87,1586.8585054920827,1319.2153589054942
88,1591.5427619319,-547.8109438940883
89,1792.4807170919962,-274.27727799862623
90,1543.8887204247176,-416.06348399817944
91,1920.7864687982067,-619.2520511671901
92,1847.7220429024742,-474.98985458910465
93,1825.4699679174714,-487.02369766682386
94,1921.3628518259825,1541.2625336050987
95,1889.6268380278866,-542.552312143147
96,1923.4140367841958,-642.0692259073257
97,1902.9895275524518,1481.606824055314
98,1990.4183392369382,1525.692307524383
99,1925.157379947735,1142.1319264769554
100,1852.20296388535,1507.4744481444359
101,2035.4871467650364,-465.4199652671814
102,2065.234476630096,-649.8725107163191
103,2150.563353098021,-630.8764247745275
104,1855.4961714468686,-335.50370386242867
105,2022.2930989866077,1259.9875350892544
106,2161.9168500860637,1466.4801911339164
107,1862.348125938958,1515.2046894989908
108,2004.3972171176192,-361.02626137435436
109,1916.28801407382,1576.570538558066
110,2232.883283783917,1613.4428740814328
111,1985.2138197033419,1521.118540622294
112,2064.691816579146,1615.2223626561463
113,2159.083780466109,1699.7091191709042
114,2154.7323957320027,1443.4036549460143
115,2372.1868103846346,1460.9938735738397
116,2352.524797482891,-475.0280091576278
117,2125.2515445488557,-596.1342349909246
118,2097.1668930186243,1620.4692771881819
119,2284.9654782774446,1466.306983076036
120,2319.179033155818,1532.9524352177978
121,2362.6540178295354,1595.2355854809284
122,2325.8834093730875,1717.623954385519
123,2264.081816768115,1651.1301979329437
124,2050.5158851954357,1616.5811313465238
125,2398.1477592412516,1806.0664899498224
126,2464.477830262511,1638.0760314017534
127,2460.7393498865313,1667.2260677367449
128,2353.3601206517296,-512.1865116124973
129,2443.662923787706,1718.8112684711814
130,2383.2048328022224,1591.7383878827095
131,2521.601793627815,1795.785879008472
132,2411.522695048933,1774.4466893300414
133,2129.2229749966114,1911.8166232407093
134,2428.700540260539,1801.8507481217384
135,1858.459633234214,1752.3815942704678
136,2252.511638914467,1549.2348248623312
137,2494.6150857645703,1671.9618938416243
138,2587.5998624343038,-176.91868300549686
139,2586.9912407242564,-367.1606946643442
140,2402.553964782637,1727.9925190657377
141,2430.154774538576,-430.2315806373954
142,2577.352330496792,-422.94173784181476
143,2391.2615368108186,1666.968491755426
144,2581.294614470943,1706.8697504103184
145,2411.4731774269167,1760.0918026976287
146,2414.131942141387,1802.370842974633
147,2457.2494551438194,1731.4221049398184
148,2450.9471519841,1999.1710936836898
149,2138.0842057093805,1569.1658796221018
150,2381.2879043850508,1565.1044949665666
151,2440.1525773775024,1632.9841062501073
152,2398.778018627215,1687.4707230776548
153,2536.380975255071,1796.2250421643257
154,2351.879840185187,1763.0702677071095
155,2602.5352931989673,1711.7530800327659
156,2477.7294881657267,1791.5226056575775
157,2543.157733076291,1661.6736483871937
158,2512.692330484143,1688.73388723284
159,2713.742402272922,1686.8987980857491
160,2674.960273799676,1849.9105516821146
161,2553.7232529463618,1736.7773728156462
162,2528.6843234532034,-318.05980342812836
163,2574.637198775486,593.6650954075158
164,2660.3756757911956,2137.16086127609
165,2626.01890051558,2222.3079066053033
166,2348.6829824782985,2362.4332892671227
167,2325.0051756833755,2161.0003936076537
168,2701.627638886087,2124.913904104382
169,2599.75429480441,-308.62564565241337
170,2689.5092930624373,2284.068773884326
171,2544.5912132834264,2448.7324975393713
172,2400.6691423666475,2179.194788515568
173,2706.8206011856505,2315.691588651389
174,2742.1247505536967,2209.740044129081
175,2296.404681087934,2129.3396823704243
176,2715.1375348357815,2444.7084565758705
177,2568.7928364709283,2207.942206364125
178,2665.4632542906593,2432.3849366903305
179,2707.6470753450367,2500.464313738048
180,2946.5310339892735,2573.9905284643173
181,2598.2549194027943,2293.0428372323513
182,2847.4757545623306,2400.5850820988417
183,2752.7323565775564,2427.7886919155717
184,2763.9702571249254,2462.7925660945475
185,2648.5821366462337,2489.6862098192796
186,2641.1070053360027,2475.9243219196796
187,2671.7265806065016,2383.2298572659492
188,2700.188367972971,2407.1519719809294
189,2711.345562979838,2429.2009093500674
190,2840.20881680313,2437.3046643575653
191,2864.2820700133097,2562.5375610738993
192,2674.358349226495,2436.91285084188
193,2913.661934893894,2535.757199358195
194,2968.157676911539,2452.397789267823
195,2854.4742941263476,2539.42860802263
196,2868.949816782596,2599.7239254564047
197,2861.6691662800768,2595.7619592174888
198,2848.9306763868935,2537.9091615080833
199,3009.1168130626047,2596.452999174595
200,2899.5978979138736,2554.3653519935906
201,2757.2565057411725,2660.4618329182267
202,2924.255008493158,2500.8337195776403
203,2859.312483296703,2519.1405994817615
204,2892.2853336450216,2557.0917352959514
205,3019.963822622085,2625.322940006852
206,2917.1323400161964,2517.0049293339252
207,3084.294161632279,2726.7284235991538
208,2979.832819486757,2506.879516787827
209,3129.2062696153553,2696.165747396648
210,2812.4683275544994,2539.323221258819
211,2917.4518321370633,2576.2077663317323
212,3042.8936579706456,2622.9354823259637
213,3107.4305523970497,2603.6913921535015
214,3156.950676808933,2702.499173557386
215,2912.791386436503,2371.8066709414124
216,3095.4678759733347,2673.5734239034355
217,3050.735571064043,2610.7719714567065
218,3068.290353949685,2620.2007706984878
219,3092.964928005655,2612.0046972483397
220,2717.6137687126184,2675.7993451841176
221,2915.0779618877236,2607.9292230904102
222,2969.374771980507,2685.8347260486335
223,3045.330583390565,2520.379142321646
224,3166.020238060526,2555.880701214075
225,2845.691220930852,2629.0054701566696
226,3203.6840084919586,2835.2657216005027
227,3224.811006610959,2858.761084623635
228,3135.3629890603706,2779.5913238823414
229,3098.077598238143,2693.1376043837517
230,3054.8895302712235,2782.3373584896326
231,3052.663886084959,2480.4792449474335
232,3168.1867412191345,2935.747449569404
233,3238.3203165150494,2873.457550533116
234,3179.3861276479574,2932.7045333087444
235,3233.6331199859833,2957.206889986992
236,3324.560580410399,3042.385831221938
237,3347.008103627695,3072.997770488262
238,3440.6970942571456,3100.590919211507
239,3352.292383869634,2998.0245540365577
240,3294.380453813445,2677.1366167292
241,3377.1836010702814,3021.1460745185614
242,3298.6996990973885,3006.0084012150764
243,3296.2835149974385,3147.2307493016124
244,3374.463452631704,2957.668039649725
245,3533.1406368166035,3140.6118280515075
246,3521.1117992384134,2938.6365041583776
247,3105.4656054085754,3012.947858840227
248,3415.364580244798,2932.371181158349
249,3763.4843146308863,3119.5890210419893
250,3666.481807396962,2840.4359464906156
251,3634.5187401451076,2925.8811483830214
252,3547.4384910289273,2993.8157825339586
253,3701.1902935237954,3024.0908830165863
254,3721.376134881645,3165.66362182796
255,3774.4396509094067,3281.0179138854146
256,3489.6396333743346,3029.789422929287
257,3806.874961563775,-178.17148576676846
258,3646.6991530765945,3159.292059754953
259,3575.649526902837,2887.451311841607
260,3810.908741479802,3277.9859402719885
261,3733.221716637309,3247.0720938779414
262,3873.857220623727,3100.1304275020957
263,3464.0163658459705,3297.51721393317
264,3777.1387072482016,2994.7995042838156
265,3660.1009299631655,3341.2234611772
266,3655.238123003651,3120.421856097877
267,3874.8045439398597,3398.4118698984385
268,3707.8363056997237,3325.441702082753
269,3705.9272574803344,3342.5310038477182
270,3787.254138922576,1710.500781815499
271,3761.587809369551,3444.6785650104284
272,3881.603065452033,3547.7757239397615
273,3853.60420625363,3455.5391603261232
274,4122.655350457185,1930.0492756292224
275,3898.5118301601356,3516.9776190556586
276,4147.621442714552,3074.0136322155595
277,3856.036148795543,3582.0908085405827
278,3869.6276002724694,3538.610795080662
279,4045.788031956699,3722.845601543784
280,4224.8797725462955,3674.4633284285665
281,4145.59716456778,3726.7635143622756
282,4295.73409471432,3949.697052657604
283,4157.079224318265,3717.662230014801
284,4185.223497637997,3659.5150879845023
285,4372.801642869991,3755.783153966069
286,4308.832976563222,3612.0069710928947
287,4382.443373975817,3779.279991596937
288,4302.944495789493,3831.0542860403657
289,4338.558099853659,3875.156336516142
290,4316.990408598778,3751.530705101788
291,4394.12779251678,3811.171262184158
292,4225.919186780941,3693.111842505634
293,4236.150707263256,3767.624042004347
294,4296.937444611536,3705.673342913389
295,4251.862650404304,3781.858602911234
296,4202.425045547523,3925.445026807487
297,4156.94584501087,3656.9164280816913
298,4316.481729932154,4016.1177133619785
299,4243.6461827032645,3974.0897294431925
300,4200.917819529468,3857.2590554356575
301,4274.271228832863,3961.3699060827494
302,4222.298831951736,4096.581616789103
303,4203.470056689073,4076.332891650498
304,4355.168353207408,4145.932370603085
305,4430.688890398248,4285.154286257923
306,4463.490632030355,4220.538889206946
307,4192.969036325498,4052.002732153982
308,4038.065404862978,4037.4182781800628
309,4454.5749594644885,4093.4563187658787
310,4389.830054867989,4113.646636843681
311,4416.963076440503,3706.3606975898147
312,4486.190758385518,3923.2731488905847
313,4531.448839570709,4315.831986185163
314,4593.42422506956,4048.682465225458
315,4645.262980350809,4041.4763171970844
316,4474.946362950773,4147.954056732357
317,4339.681275256149,4017.136972025037
318,4286.45887376347,3877.3132984675467
319,4606.98667029057,3858.607068940997
320,4383.4623380041685,3702.150919266045
321,4363.7020545280575,1150.6440353719518
322,4449.585509989979,3810.5562510043383
323,4465.476537894368,3832.906551171094
324,4277.571291596155,3781.47537102364
325,4568.891207858724,4123.365965016186
326,4491.982795642445,4109.585387933999
327,4552.38535138098,3899.9460082743317
328,4643.64941107352,4094.8191024512053
329,4581.7256539651,3866.2933932468295
330,4189.821280463172,3997.6012322343886
331,4420.414494606476,3955.8686204515398
332,4392.776303251908,3825.1393166184425
333,4148.441978248042,3965.9503947645426
334,4551.762185039131,4104.550069108605
335,4751.054169587854,4270.974664360285
336,4553.8202007863965,4271.089434668422
337,4093.7806055865517,4147.7618103176355
338,4535.918810540961,4170.335626810789
339,4365.246677626583,4217.425502942875
340,3537.7027593191337,4161.453084073961
341,3708.954317735895,4336.074279092252
342,4149.210564515763,4339.818842202425
343,4453.5241531641295,4313.82329056412
344,4396.476330192781,4328.314985824749
345,4400.2219312208645,3923.8387629911304
346,4559.410119059042,4360.679071031511
347,4147.54192836534,4450.993274156004
348,4316.153883792187,4149.296402513981
349,4123.208196644623,4306.947106596082
350,4768.37054242261,4258.717425853014
351,4580.541644137366,4262.080192115158
352,4605.273085745079,4089.426305413246
353,4221.400532426049,4231.98174674809
354,4513.31713531924,4008.1842226162553
355,4114.420739813235,4047.5604579262435
356,4580.138369423282,4182.786415122449
357,3692.5205768146798,3899.72500410676
358,4755.280104354837,4161.7196376770735
359,4649.040047908048,3981.5831257104874
360,4605.318528135542,4438.453124791384
361,4811.928536705793,4252.358549937606
362,4831.560349011684,4177.754833109677
363,4785.174212047402,4381.762287713587
364,4381.065612218747,4013.634096764028
365,4747.2810473439085,4372.1008328944445
366,4420.972696595305,1011.1297619752586
367,4364.326487812597,4447.0012537539005
368,4798.786844608579,4522.414079390466
369,4631.979090839062,4181.453827191144
370,4442.005552602964,4290.093943306245
371,4545.965826146561,4292.806980073452
372,4504.755592939528,4341.6796358674765
373,4829.938575447992,4194.337405480444
