step,mujoco_step_times,brax_step_times
0,0.00022172927856445312,
1,7.486343383789062e-05,
2,8.606910705566406e-05,
3,7.605552673339844e-05,
4,7.200241088867188e-05,
5,7.200241088867188e-05,
6,6.985664367675781e-05,
7,7.295608520507812e-05,
8,6.699562072753906e-05,
9,6.818771362304688e-05,
10,6.794929504394531e-05,
11,6.604194641113281e-05,
12,6.723403930664062e-05,
13,6.67572021484375e-05,
14,6.699562072753906e-05,
15,6.508827209472656e-05,
16,6.508827209472656e-05,
17,6.67572021484375e-05,
18,6.604194641113281e-05,
19,6.508827209472656e-05,
20,6.508827209472656e-05,
21,6.771087646484375e-05,
22,6.699562072753906e-05,
23,7.009506225585938e-05,
24,6.580352783203125e-05,
25,6.699562072753906e-05,
26,6.580352783203125e-05,
27,6.508827209472656e-05,
28,6.67572021484375e-05,
29,6.389617919921875e-05,
30,6.413459777832031e-05,
31,6.4849853515625e-05,
32,6.508827209472656e-05,
33,6.4849853515625e-05,
34,6.604194641113281e-05,
35,6.604194641113281e-05,
36,6.389617919921875e-05,
37,6.4849853515625e-05,
38,6.508827209472656e-05,
39,6.413459777832031e-05,
40,6.389617919921875e-05,
41,6.508827209472656e-05,
42,6.604194641113281e-05,
43,6.389617919921875e-05,
44,6.413459777832031e-05,
45,6.318092346191406e-05,
46,6.318092346191406e-05,
47,6.723403930664062e-05,
48,6.4849853515625e-05,
49,6.604194641113281e-05,
50,6.389617919921875e-05,
51,6.508827209472656e-05,
52,6.604194641113281e-05,
53,6.890296936035156e-05,
54,6.890296936035156e-05,
55,6.413459777832031e-05,
56,6.604194641113281e-05,
57,6.389617919921875e-05,
58,6.604194641113281e-05,
59,6.508827209472656e-05,
60,6.318092346191406e-05,
61,6.508827209472656e-05,
62,6.413459777832031e-05,
63,6.604194641113281e-05,
64,6.413459777832031e-05,
65,6.389617919921875e-05,
66,6.699562072753906e-05,
67,6.413459777832031e-05,
68,6.389617919921875e-05,
69,6.604194641113281e-05,
70,6.508827209472656e-05,
71,6.508827209472656e-05,
72,6.508827209472656e-05,
73,6.389617919921875e-05,
74,6.604194641113281e-05,
75,6.29425048828125e-05,
76,6.771087646484375e-05,
77,6.413459777832031e-05,
78,6.389617919921875e-05,
79,6.389617919921875e-05,
80,6.508827209472656e-05,
81,6.29425048828125e-05,
82,6.29425048828125e-05,
83,6.29425048828125e-05,
84,6.29425048828125e-05,
85,6.29425048828125e-05,
86,6.604194641113281e-05,
87,6.508827209472656e-05,
88,6.413459777832031e-05,
89,6.389617919921875e-05,
90,6.818771362304688e-05,
91,6.67572021484375e-05,
92,6.4849853515625e-05,
93,6.389617919921875e-05,
94,6.508827209472656e-05,
95,7.510185241699219e-05,
96,6.4849853515625e-05,
97,6.604194641113281e-05,
98,6.818771362304688e-05,
99,6.4849853515625e-05,
100,6.29425048828125e-05,
101,6.699562072753906e-05,
102,6.723403930664062e-05,
103,6.175041198730469e-05,
